satname, satId, intl_code, launchDate, period, category
OAO 2, 3597, 1968-110A, December 7 1968, 99.6, BRIGHTEST
SL-8 R/B, 3230, 1968-040B, May 7 1968, 96.6, BRIGHTEST
SL-8 R/B, 2802, 1967-045B, May 15 1967, 99.7, BRIGHTEST
SL-3 R/B, 877, 1964-053B, August 28 1964, 98.7, BRIGHTEST
THOR AGENA D R/B, 733, 1964-002A, January 19 1964, 100.5, BRIGHTEST
ATLAS CENTAUR 2 R/B, 694, 1963-047A, November 27 1963, 102.7, BRIGHTEST


SOYUZ MS-11, 43756, 2018-098A, December 3 2018, 92.7, ISS
CYGNUS NG-10, 43704, 2018-092A, November 17 2018, 90.7, ISS
PROGRESS MS-10, 43702, 2018-091A, November 16 2018, 92.7, ISS
TIANGONG-2, 41765, 2016-057A, September 15 2016, 92.3, ISS
POISK, 36086, 2009-060A, November 10 2009, 91.3, ISS
ISS (DESTINY), 26700, 2001-006B, February 7 2001, -, ISS
ISS (ZVEZDA), 26400, 2000-037A, July 12 2000, 91.7, ISS
ISS (UNITY), 25575, 1998-069F, December 4 1998, -, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, ISS


GEO-KOMPSAT-2A, 43823, 2018-100A, December 4 2018, 1436.1, WEATHER
GOES 17, 43226, 2018-022A, March 1 2018, 1436.1, WEATHER
NOAA 20 (JPSS 1), 43013, 2017-073A, November 18 2017, 101.4, WEATHER
FENGYUN 3D, 43010, 2017-072A, November 14 2017, 101.4, WEATHER
WNISAT 1R, 42835, 2017-042L, July 14 2017, 96.6, WEATHER
CYGFM03, 41891, 2016-078H, December 15 2016, 95.1, WEATHER
CYGFM07, 41890, 2016-078G, December 15 2016, 95.1, WEATHER
CYGFM06, 41889, 2016-078F, December 15 2016, 95.1, WEATHER
CYGFM08, 41888, 2016-078E, December 15 2016, 95.1, WEATHER
CYGFM01, 41887, 2016-078D, December 15 2016, 95.1, WEATHER
CYGFM02, 41886, 2016-078C, December 15 2016, 95.1, WEATHER
CYGFM04, 41885, 2016-078B, December 15 2016, 95.1, WEATHER
CYGFM05, 41884, 2016-078A, December 15 2016, 95.1, WEATHER
FENGYUN 4A, 41882, 2016-077A, December 10 2016, 1436, WEATHER
GOES 16, 41866, 2016-071A, November 19 2016, 1436.1, WEATHER
YUNHAI 1, 41857, 2016-068A, November 11 2016, 100.5, WEATHER
HIMAWARI 9, 41836, 2016-064A, November 2 2016, 1436.1, WEATHER
